Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
My Dinner with SAM,5/2/2024,Olympic Sculpture Park,Museums,Downtown,https://visitseattle.org/events/my-dinner-with-sam-2/,47.6162378,-122.35431328817567,Weather forecast not found for specific date
Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/noah-gellers-playlist/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/broadway-spectacular/,N/A,N/A,N/A
Festal: Asian Pacific Islander Heritage Month Celebration,5/4/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-asian-pacific-islander-heritage-month-celebration/,47.621255,-122.34974101387942,Weather forecast not found for specific date
Opening Day of Boating Season,5/4/2024,Seattle Yacht Club,Festivals & Special Events,University District,https://visitseattle.org/events/opening-day-of-boating-season/,47.64534825,-122.30860586841534,Weather forecast not found for specific date
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/jessica-jackson-hutchins-wrecked-and-righteous/,47.60719095,-122.32405377084555,Weather forecast not found for specific date
The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District,https://visitseattle.org/events/the-lion-tells-his-tale/,47.6158151,-122.32186077039998,Weather forecast not found for specific date
Seattle Sounders FC vs. LA Galaxy,5/5/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-la-galaxy/,47.5953459,-122.33164431196111,Weather forecast not found for specific date
Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/melanie-martinez/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Festal: Spirit of Africa,5/11/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-spirit-of-africa/,47.621255,-122.34974101387942,Weather forecast not found for specific date
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District,https://visitseattle.org/events/guma-gela-part-land-part-sea-all-ancestry/,47.5982461,-122.3228705,Weather forecast not found for specific date
Jaune Quick-to-See Smith: Memory Map,Now through 5/12/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/jaune-quick-to-see-smith-memory-map/,47.6077008,-122.3385575,Weather forecast not found for specific date
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/fat-ham/,47.6145597,-122.3285576,Weather forecast not found for specific date
